,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
481,-16.6,8.3,658.4,-0.003,0.039,-0.084,0.01,0.03,0.85,0.17,0.0,0.04,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.19,0.41,0.42,0.0
482,-16.6,8.3,658.7,-0.003,0.042,-0.085,0.02,0.03,0.91,0.19,0.0,0.07,0.01,0.0,0.0,0.0,0.09,0.17,0.0,0.19,0.51,0.48,0.0
483,-16.6,8.3,659.5,-0.002,0.041,-0.084,0.03,0.03,0.9,0.09,0.0,0.18,0.02,0.0,0.0,0.0,0.1,0.17,0.0,0.15,0.55,0.46,0.0
484,-16.7,8.4,662.4,-0.007,0.044,-0.086,0.02,0.0,0.89,0.07,0.0,0.25,0.02,0.0,0.0,0.0,0.04,0.08,0.03,0.16,0.54,0.43,0.0
485,-16.5,8.4,659.0,-0.003,0.041,-0.085,0.03,0.0,0.85,0.13,0.0,0.35,0.01,0.0,0.0,0.0,0.04,0.06,0.03,0.17,0.48,0.37,0.0
486,-16.4,8.4,658.1,-0.002,0.04,-0.085,0.03,0.0,0.85,0.24,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.21,0.46,0.38,0.0
487,-16.4,8.4,658.2,-0.002,0.04,-0.084,0.06,0.0,0.86,0.32,0.0,0.3,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.23,0.42,0.35,0.0
488,-16.3,8.4,658.2,-0.002,0.04,-0.084,0.07,0.0,0.9,0.32,0.0,0.3,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.22,0.36,0.31,0.0
489,-16.2,8.3,658.8,-0.002,0.04,-0.085,0.07,0.0,0.87,0.27,0.0,0.25,0.0,0.0,0.0,0.0,0.07,0.09,0.0,0.21,0.3,0.23,0.0
490,-16.2,8.3,658.4,-0.002,0.04,-0.085,0.04,0.0,0.86,0.24,0.0,0.23,0.0,0.0,0.0,0.0,0.02,0.16,0.0,0.19,0.26,0.12,0.0
491,-16.1,8.3,657.8,-0.003,0.038,-0.084,0.04,0.0,0.85,0.2,0.0,0.15,0.0,0.0,0.0,0.0,0.03,0.18,0.0,0.19,0.28,0.04,0.0
492,-16.1,8.3,657.9,-0.003,0.037,-0.084,0.05,0.0,0.88,0.16,0.0,0.18,0.0,0.0,0.0,0.0,0.07,0.16,0.0,0.16,0.24,0.08,0.0
493,-16.1,8.3,658.2,-0.003,0.038,-0.084,0.05,0.0,0.85,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.07,0.14,0.0,0.13,0.29,0.18,0.0
494,-16.1,8.3,658.2,-0.002,0.038,-0.083,0.02,0.0,0.84,0.11,0.0,0.15,0.0,0.0,0.0,0.0,0.06,0.14,0.0,0.12,0.31,0.24,0.0
495,-16.1,8.2,658.2,-0.003,0.038,-0.083,0.03,0.0,0.87,0.08,0.0,0.14,0.0,0.0,0.0,0.0,0.08,0.16,0.0,0.15,0.33,0.23,0.0
496,-16.1,8.2,658.6,-0.004,0.038,-0.083,0.09,0.02,0.93,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.12,0.16,0.03,0.18,0.25,0.22,0.0
497,-16.2,8.2,658.9,-0.004,0.039,-0.083,0.12,0.02,0.93,0.13,0.0,0.24,0.0,0.0,0.0,0.01,0.1,0.14,0.03,0.2,0.21,0.24,0.0
498,-16.2,8.2,658.3,-0.004,0.038,-0.083,0.15,0.03,0.92,0.16,0.0,0.24,0.0,0.0,0.0,0.01,0.05,0.15,0.03,0.21,0.22,0.26,0.0
499,-16.2,8.2,658.6,-0.004,0.038,-0.083,0.1,0.14,0.83,0.11,0.0,0.19,0.02,0.0,0.0,0.06,0.05,0.2,0.0,0.2,0.17,0.24,0.0
500,-16.2,8.2,659.2,-0.005,0.04,-0.084,0.08,0.3,0.8,0.12,0.0,0.18,0.07,0.0,0.0,0.05,0.05,0.24,0.0,0.19,0.19,0.16,0.0
501,-16.1,8.2,658.5,-0.005,0.039,-0.083,0.05,0.44,0.76,0.18,0.0,0.23,0.11,0.0,0.0,0.05,0.11,0.23,0.0,0.19,0.19,0.12,0.0
502,-16.1,8.2,658.9,-0.004,0.038,-0.084,0.07,0.49,0.8,0.28,0.0,0.26,0.13,0.0,0.0,0.0,0.13,0.21,0.0,0.2,0.2,0.1,0.0
503,-16.0,8.2,658.6,-0.004,0.038,-0.083,0.05,0.48,0.81,0.29,0.0,0.28,0.14,0.0,0.0,0.0,0.13,0.23,0.0,0.2,0.11,0.12,0.0
504,-16.0,8.2,658.1,-0.004,0.037,-0.083,0.02,0.44,0.84,0.26,0.0,0.25,0.15,0.0,0.0,0.0,0.15,0.25,0.0,0.2,0.06,0.12,0.0
505,-16.0,8.2,658.5,-0.004,0.038,-0.083,0.0,0.41,0.85,0.24,0.0,0.27,0.12,0.0,0.0,0.0,0.2,0.24,0.0,0.2,0.1,0.15,0.0
506,-16.0,8.3,657.9,-0.004,0.037,-0.083,0.0,0.34,0.9,0.16,0.0,0.16,0.06,0.0,0.0,0.0,0.26,0.24,0.0,0.19,0.18,0.2,0.0
507,-15.9,8.3,659.0,-0.01,0.038,-0.081,0.0,0.21,0.93,0.08,0.0,0.09,0.04,0.0,0.0,0.0,0.17,0.23,0.0,0.12,0.12,0.17,0.0
508,-16.0,8.4,662.9,-0.021,0.043,-0.08,0.0,0.17,0.97,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.09,0.2,0.0,0.06,0.14,0.15,0.0
509,-16.0,8.4,662.9,-0.02,0.043,-0.081,0.0,0.11,0.96,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.12,0.16,0.0,0.02,0.07,0.1,0.0
510,-16.0,8.4,662.7,-0.019,0.044,-0.082,0.0,0.11,0.94,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.22,0.19,0.0,0.04,0.07,0.07,0.0
511,-16.1,8.4,662.9,-0.019,0.043,-0.082,0.0,0.05,0.93,0.0,0.0,0.02,0.02,0.0,0.0,0.01,0.28,0.29,0.0,0.03,0.03,0.09,0.0
512,-16.1,8.4,663.5,-0.017,0.045,-0.082,0.0,0.06,0.92,0.0,0.0,0.02,0.01,0.0,0.0,0.05,0.29,0.33,0.0,0.03,0.09,0.12,0.0
513,-16.1,8.3,663.2,-0.016,0.045,-0.082,0.0,0.08,0.91,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.26,0.32,0.0,0.03,0.14,0.14,0.0
514,-16.1,8.3,662.7,-0.02,0.044,-0.081,0.0,0.07,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.26,0.0,0.06,0.14,0.13,0.0
515,-16.0,8.3,662.6,-0.017,0.044,-0.082,0.0,0.04,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.25,0.28,0.0,0.07,0.11,0.14,0.0
516,-16.0,8.3,662.3,-0.017,0.044,-0.081,0.0,0.04,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.25,0.31,0.0,0.07,0.09,0.17,0.0
517,-16.0,8.3,661.9,-0.019,0.043,-0.08,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.33,0.0,0.07,0.11,0.15,0.0
518,-15.9,8.3,661.6,-0.017,0.042,-0.08,0.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.31,0.0,0.07,0.11,0.11,0.0
519,-15.8,8.3,662.1,-0.017,0.042,-0.08,0.0,0.13,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.17,0.3,0.0,0.06,0.15,0.05,0.0
520,-15.8,8.3,661.9,-0.015,0.041,-0.08,0.0,0.1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.29,0.0,0.05,0.15,0.06,0.0
521,-15.7,8.3,661.7,-0.015,0.041,-0.079,0.0,0.04,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.17,0.31,0.0,0.06,0.12,0.09,0.0
522,-15.8,8.2,661.9,-0.015,0.041,-0.079,0.0,0.0,0.99,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.15,0.35,0.0,0.07,0.04,0.13,0.0
523,-15.8,8.2,662.0,-0.016,0.042,-0.079,0.0,0.0,1.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.14,0.38,0.0,0.07,0.08,0.12,0.0
524,-15.8,8.2,662.2,-0.018,0.042,-0.079,0.0,0.0,1.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.35,0.0,0.06,0.14,0.09,0.0
525,-15.8,8.2,662.0,-0.018,0.042,-0.079,0.0,0.0,1.07,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.12,0.29,0.0,0.04,0.2,0.08,0.0
526,-15.8,8.2,661.9,-0.018,0.043,-0.079,0.0,0.0,1.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.13,0.24,0.0,0.03,0.18,0.04,0.0
527,-15.8,8.2,662.2,-0.017,0.043,-0.079,0.0,0.0,1.07,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.09,0.19,0.0,0.01,0.16,0.03,0.0
528,-15.8,8.2,662.2,-0.017,0.043,-0.079,0.0,0.03,1.06,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.14,0.16,0.0,0.01,0.12,0.0,0.0
529,-15.7,8.2,662.0,-0.016,0.043,-0.079,0.02,0.03,1.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.14,0.17,0.0,0.01,0.11,0.0,0.0
530,-15.7,8.3,663.1,-0.02,0.044,-0.078,0.05,0.03,0.95,0.01,0.0,0.07,0.02,0.0,0.0,0.02,0.21,0.15,0.0,0.01,0.19,0.11,0.0
531,-15.8,8.4,669.2,-0.016,0.052,-0.077,0.11,0.0,0.88,0.01,0.0,0.1,0.0,0.0,0.0,0.02,0.22,0.23,0.07,0.01,0.24,0.2,0.22
532,-15.7,8.5,667.8,-0.02,0.046,-0.078,0.16,0.0,0.87,0.01,0.0,0.16,0.02,0.0,0.0,0.02,0.21,0.23,0.09,0.0,0.29,0.29,0.4
533,-15.7,8.5,667.5,-0.021,0.046,-0.078,0.17,0.0,0.86,0.0,0.0,0.11,0.04,0.0,0.0,0.0,0.19,0.31,0.12,0.0,0.23,0.24,0.56
534,-15.7,8.5,667.1,-0.021,0.046,-0.078,0.16,0.0,0.88,0.0,0.0,0.16,0.04,0.0,0.0,0.0,0.14,0.2,0.08,0.0,0.19,0.15,0.51
535,-15.7,8.5,667.0,-0.023,0.047,-0.077,0.14,0.0,0.84,0.0,0.0,0.19,0.03,0.0,0.0,0.0,0.16,0.18,0.07,0.0,0.12,0.1,0.48
536,-15.8,8.5,667.0,-0.023,0.047,-0.077,0.14,0.0,0.84,0.0,0.0,0.24,0.01,0.0,0.0,0.0,0.16,0.1,0.03,0.0,0.09,0.07,0.5
537,-15.8,8.5,667.4,-0.024,0.047,-0.077,0.13,0.0,0.82,0.0,0.0,0.2,0.03,0.0,0.0,0.0,0.18,0.1,0.0,0.0,0.19,0.12,0.55
538,-15.9,8.5,667.6,-0.023,0.047,-0.077,0.13,0.0,0.85,0.0,0.0,0.18,0.04,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.24,0.18,0.6
539,-15.9,8.5,667.2,-0.022,0.045,-0.078,0.18,0.0,0.85,0.0,0.0,0.24,0.05,0.0,0.0,0.0,0.08,0.07,0.0,0.0,0.37,0.22,0.65
540,-15.9,8.5,666.7,-0.023,0.046,-0.078,0.25,0.0,0.84,0.0,0.0,0.32,0.03,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.37,0.19,0.73
541,-16.0,8.4,667.1,-0.023,0.046,-0.078,0.3,0.0,0.86,0.0,0.0,0.32,0.01,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.38,0.17,0.75
542,-16.0,8.4,666.4,-0.025,0.048,-0.077,0.27,0.0,0.88,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.33,0.14,0.73
543,-16.1,8.3,666.9,-0.024,0.049,-0.077,0.23,0.0,0.89,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.05,0.14,0.03,0.0,0.32,0.12,0.63
544,-16.1,8.2,666.8,-0.025,0.051,-0.077,0.2,0.0,0.88,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.09,0.14,0.04,0.0,0.32,0.06,0.65
545,-16.1,8.2,666.9,-0.024,0.049,-0.078,0.24,0.0,0.91,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.1,0.12,0.04,0.0,0.3,0.03,0.66
546,-16.0,8.2,666.3,-0.025,0.05,-0.078,0.28,0.0,0.93,0.0,0.0,0.2,0.03,0.0,0.0,0.0,0.11,0.06,0.06,0.0,0.22,0.02,0.65
547,-16.0,8.2,666.7,-0.027,0.048,-0.079,0.27,0.0,0.93,0.0,0.0,0.24,0.05,0.0,0.0,0.0,0.1,0.1,0.06,0.0,0.14,0.03,0.61
548,-15.9,8.2,666.3,-0.028,0.047,-0.079,0.26,0.0,0.91,0.0,0.0,0.14,0.06,0.0,0.0,0.0,0.19,0.15,0.06,0.0,0.09,0.04,0.63
549,-15.9,8.1,666.4,-0.027,0.047,-0.079,0.16,0.0,0.92,0.0,0.0,0.28,0.07,0.0,0.0,0.01,0.19,0.18,0.06,0.0,0.15,0.11,0.69
550,-15.8,8.0,666.6,-0.026,0.047,-0.078,0.09,0.0,0.94,0.0,0.0,0.35,0.11,0.0,0.0,0.08,0.14,0.18,0.08,0.0,0.12,0.18,0.66
551,-15.9,7.8,667.8,-0.028,0.047,-0.079,0.0,0.0,1.01,0.0,0.0,0.28,0.15,0.0,0.0,0.13,0.03,0.16,0.15,0.0,0.09,0.2,0.59
552,-15.8,7.7,666.5,-0.028,0.048,-0.079,0.0,0.0,1.06,0.0,0.0,0.14,0.15,0.0,0.0,0.17,0.02,0.14,0.18,0.0,0.07,0.13,0.38
553,-15.7,7.7,663.4,-0.029,0.045,-0.078,0.01,0.02,1.09,0.0,0.0,0.0,0.1,0.0,0.0,0.15,0.02,0.15,0.2,0.0,0.12,0.05,0.2
554,-15.7,7.6,663.9,-0.028,0.046,-0.078,0.02,0.02,1.07,0.0,0.0,0.0,0.07,0.0,0.0,0.15,0.02,0.19,0.17,0.0,0.21,0.0,0.09
555,-15.7,7.6,663.1,-0.029,0.045,-0.078,0.02,0.02,1.04,0.0,0.0,0.0,0.02,0.0,0.0,0.17,0.04,0.27,0.1,0.0,0.21,0.0,0.1
556,-15.7,7.6,663.0,-0.03,0.045,-0.078,0.02,0.04,1.02,0.0,0.0,0.01,0.01,0.0,0.0,0.19,0.04,0.31,0.11,0.0,0.24,0.0,0.1
557,-15.7,7.5,662.7,-0.03,0.044,-0.078,0.0,0.04,1.04,0.0,0.0,0.01,0.0,0.0,0.0,0.22,0.06,0.3,0.06,0.0,0.26,0.0,0.05
558,-15.7,7.5,662.7,-0.028,0.045,-0.079,0.02,0.05,1.07,0.0,0.0,0.01,0.0,0.0,0.0,0.19,0.03,0.26,0.06,0.0,0.22,0.0,0.0
559,-15.7,7.5,662.2,-0.029,0.044,-0.078,0.02,0.05,1.07,0.0,0.0,0.01,0.0,0.0,0.0,0.15,0.05,0.28,0.04,0.0,0.19,0.0,0.0
560,-15.7,7.5,662.6,-0.03,0.044,-0.078,0.04,0.04,1.05,0.0,0.0,0.01,0.04,0.0,0.0,0.06,0.03,0.23,0.04,0.0,0.15,0.0,0.0
561,-15.7,7.4,662.7,-0.03,0.045,-0.078,0.02,0.03,1.02,0.0,0.0,0.01,0.05,0.0,0.0,0.02,0.03,0.16,0.16,0.0,0.17,0.0,0.0
562,-15.7,7.4,662.9,-0.031,0.045,-0.078,0.05,0.06,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.1,0.12,0.0,0.2,0.0,0.0
563,-15.7,7.3,662.5,-0.03,0.046,-0.078,0.05,0.07,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.05,0.14,0.12,0.0,0.25,0.0,0.0
564,-15.8,7.3,662.5,-0.032,0.046,-0.078,0.1,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.12,0.05,0.0,0.31,0.0,0.0
565,-15.8,7.3,662.0,-0.032,0.046,-0.078,0.11,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.13,0.08,0.0,0.3,0.0,0.0
566,-15.9,7.3,662.3,-0.03,0.046,-0.078,0.14,0.21,0.98,0.0,0.0,0.03,0.0,0.0,0.0,0.14,0.03,0.13,0.12,0.0,0.25,0.0,0.0
567,-16.0,7.3,662.2,-0.032,0.047,-0.078,0.14,0.19,0.97,0.0,0.0,0.06,0.02,0.0,0.0,0.09,0.08,0.17,0.13,0.0,0.22,0.0,0.0
568,-16.0,7.3,662.4,-0.033,0.047,-0.079,0.11,0.17,0.98,0.0,0.0,0.07,0.02,0.0,0.0,0.05,0.08,0.11,0.14,0.0,0.19,0.0,0.0
569,-16.0,7.3,662.2,-0.032,0.047,-0.079,0.07,0.09,0.99,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.05,0.04,0.12,0.0,0.2,0.0,0.03
570,-16.0,7.3,662.1,-0.031,0.047,-0.079,0.02,0.13,0.99,0.0,0.0,0.09,0.02,0.0,0.0,0.0,0.01,0.01,0.1,0.0,0.14,0.0,0.05
571,-16.1,7.3,662.1,-0.031,0.047,-0.078,0.0,0.12,1.0,0.0,0.0,0.09,0.02,0.0,0.0,0.0,0.06,0.04,0.06,0.01,0.15,0.0,0.05
572,-16.1,7.3,662.5,-0.032,0.048,-0.078,0.02,0.09,1.02,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.13,0.06,0.04,0.01,0.18,0.0,0.03
573,-16.0,7.3,662.3,-0.032,0.047,-0.078,0.03,0.02,1.04,0.0,0.0,0.09,0.03,0.0,0.0,0.0,0.19,0.1,0.03,0.01,0.18,0.0,0.0
574,-15.9,7.3,662.1,-0.031,0.046,-0.078,0.06,0.0,1.05,0.0,0.0,0.09,0.04,0.0,0.0,0.0,0.18,0.18,0.04,0.0,0.17,0.0,0.03
575,-15.9,7.3,662.4,-0.032,0.046,-0.078,0.05,0.0,1.03,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.16,0.31,0.07,0.0,0.1,0.0,0.02
576,-15.8,7.3,662.4,-0.032,0.046,-0.078,0.03,0.0,1.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.34,0.05,0.0,0.16,0.0,0.02
